signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,ret_24,ret_72,ret_168,ret_288,atr_24_pct,atr_72_pct,vol_24,vol_72,volume_ratio_24,rsi_14,above_sma_24,above_sma_72,above_sma_168,above_sma_288,atr_24_pct_live_pct,atr_72_pct_live_pct,vol_24_live_pct,vol_72_live_pct,volume_ratio_24_live_pct,rsi_14_live_pct,ret_24_live_pct,ret_72_live_pct,asset,split
662,2024-11-06 23:00:00,2024-11-07,2024-11-07 23:00:00,75579.9,75579.9,75859.4,76084.584375,0.0066774946116626,1.0,1,0.0036980731649551,0.0022980731649551,0.08978401830631921,0.09914415560807122,0.04465714799098808,0.1337642583269829,0.01359901905136154,0.00941143449220994,0.00917520166565429,0.007164212121427351,0.22103103564171553,71.68229991472751,True,True,True,True,0.958904109589041,0.9863013698630136,0.947945205479452,0.9917808219178083,0.043835616438356165,0.8383561643835616,0.989041095890411,0.9917808219178083,btc_1h,train
663,2024-11-07 23:00:00,2024-11-08,2024-11-08 23:00:00,75859.4,75859.4,76482.2,74663.1078125,-0.0157698609203341,0.2,-1,-0.0082099252037322,-0.0096099252037322,0.0036980731649551846,0.11830445659496736,0.07874502822022733,0.13101780480022884,0.0072582742986806335,0.009447704862182172,0.004639187265145631,0.007001140793619528,0.5413578485265556,61.49378850621135,True,True,True,True,0.663013698630137,0.9424657534246575,0.6931506849315069,0.8904109589041096,0.3287671232876712,0.6383561643835617,0.4821917808219178,0.9835616438356164,btc_1h,train
664,2024-11-08 23:00:00,2024-11-09,2024-11-09 23:00:00,76482.2,76482.2,76675.1,75207.6796875,-0.0166642736806733,0.2,-1,-0.0025221554819292,-0.0039221554819292,0.008209925203732205,0.10279425144658272,0.10053456698635155,0.1248606465997768,0.00614424009769591,0.008927331384877056,0.003990098900186956,0.0064740297260610195,0.32678782011870583,56.05325457656519,True,True,True,True,0.3150684931506849,0.8246575342465754,0.3780821917808219,0.810958904109589,0.10684931506849316,0.5452054794520548,0.5945205479452055,0.9232876712328767,btc_1h,train
665,2024-11-09 23:00:00,2024-11-10,2024-11-10 23:00:00,76675.1,76675.1,80410.0,75881.715625,-0.0103473536389258,0.2,-1,-0.0487107287763561,-0.0501107287763561,0.0025221554819292447,0.014490625152983938,0.10536050491158577,0.09629825564769812,0.0036228623547062085,0.005644234206701027,0.0015655649979198583,0.0035963668526366043,2.446192883718955,53.81632293319249,True,True,True,True,0.11232876712328767,0.21095890410958903,0.07123287671232877,0.26301369863013696,0.9260273972602739,0.5095890410958904,0.43561643835616437,0.536986301369863,btc_1h,train
666,2024-11-10 23:00:00,2024-11-11,2024-11-11 23:00:00,80410.0,80409.9,88728.9,78920.1421875,-0.0185282652966049,0.0,-1,-0.1034574100950256,-0.1048574100950256,0.04871072877635618,0.05998729228019206,0.16938738411197973,0.10545164594202605,0.010522582182978897,0.006607093506888303,0.007286275597643809,0.004884274876193777,0.735865026273738,58.762214983713406,True,True,True,True,0.9342465753424658,0.5972602739726027,0.9013698630136986,0.6136986301369863,0.4876712328767123,0.5726027397260274,0.9068493150684932,0.6465753424657534,btc_1h,train
667,2024-11-11 23:00:00,2024-11-12,2024-11-12 23:00:00,88728.9,88729.0,87972.0,87690.94375,-0.0116980628633962,0.2,-1,0.0085315962086803,0.0071315962086803,0.10345603780624302,0.16012483950513978,0.3080241116957054,0.22640119421139193,0.011645209922208733,0.008103976770189246,0.0059083923839432255,0.005657224661951002,2.2146418980446887,95.702737940026,True,True,True,True,0.9397260273972603,0.8027397260273973,0.8,0.7972602739726027,0.8931506849315068,1.0,1.0,1.0,btc_1h,train
668,2024-11-12 23:00:00,2024-11-13,2024-11-13 23:00:00,87972.0,87972.0,90413.3,86615.896875,-0.0154151676101486,0.4,-1,-0.0277508752784978,-0.0291508752784978,-0.008530478795522045,0.14733466275231466,0.26846528850188367,0.25099008985820936,0.016565782294366383,0.012643085299868137,0.008788552918981994,0.007542591902557479,0.4920010706672672,51.196567692064576,False,True,True,True,0.9698630136986301,1.0,0.936986301369863,1.0,0.2493150684931507,0.4054794520547945,0.18904109589041096,0.9534246575342465,btc_1h,train
669,2024-11-13 23:00:00,2024-11-14,2024-11-14 23:00:00,90413.3,90413.3,87382.7,87024.8125,-0.037477754932073,0.0,-1,0.0335194047778369,0.0321194047778369,0.027750875278497844,0.12440368113418732,0.19626117525955977,0.30099502845507997,0.01508793507149944,0.014211558353570644,0.010703116550046242,0.008770436263843866,0.5655942430207563,62.13289340433176,True,True,True,True,0.9315068493150684,0.9917808219178083,0.9972602739726028,1.0,0.3589041095890411,0.684931506849315,0.7068493150684931,0.8794520547945206,btc_1h,train
670,2024-11-14 23:00:00,2024-11-15,2024-11-15 23:00:00,87382.7,87382.6,91074.6,87808.0875,0.004868097460939,0.6,1,0.042250974450291,0.040850974450291,-0.03351940477783699,-0.01517205780754638,0.1519033896919828,0.2597229790706188,0.012911976092903198,0.015066896663883248,0.008652343790722196,0.009354225215349368,1.2353299672142368,30.613311271254688,False,False,True,True,0.7671232876712328,0.9808219178082191,0.8273972602739726,0.989041095890411,0.7150684931506849,0.09863013698630137,0.038356164383561646,0.2356164383561644,btc_1h,train
671,2024-11-15 23:00:00,2024-11-16,2024-11-16 23:00:00,91074.6,91074.6,90643.3,89824.90625,-0.0137216496147115,0.0,-1,0.004735678224225,0.003335678224225,0.042249781707363265,0.03526803983085536,0.1907947208631553,0.3244806398836575,0.010348750731085656,0.012571897714132758,0.006424746564998655,0.008753553275718577,0.5186308000268216,63.51195236825736,True,True,True,True,0.6301369863013698,0.8027397260273973,0.5753424657534246,0.8684931506849315,0.27671232876712326,0.6931506849315069,0.8027397260273973,0.4767123287671233,btc_1h,train
672,2024-11-16 23:00:00,2024-11-17,2024-11-17 23:00:00,90643.3,90643.2,89899.9,90044.690625,-0.0066040112727582,0.0,-1,0.0082002841912024,0.0068002841912024,-0.004735678224225048,0.002543873523032536,0.1821738739173473,0.3362458225411038,0.005586228288981822,0.009477243338571199,0.002957168102872748,0.006492677879704745,0.8151098923903339,41.789604651753336,False,True,True,True,0.13150684931506848,0.6410958904109589,0.0821917808219178,0.5095890410958904,0.5726027397260274,0.19452054794520549,0.23835616438356164,0.3095890410958904,btc_1h,train
673,2024-11-17 23:00:00,2024-11-18,2024-11-18 23:00:00,89899.9,89900.0,90507.4,89510.0671875,-0.0043362986221341,0.4,-1,-0.0067563959955505,-0.0081563959955505,-0.008201378369940282,0.028806617328143824,0.1180189031215022,0.2962636133063985,0.006881820780668255,0.0076660726726800145,0.0038855700199862367,0.0046899223286848415,0.9348509145935356,34.03878528170709,False,False,True,True,0.30684931506849317,0.3917808219178082,0.19726027397260273,0.16986301369863013,0.6191780821917808,0.07945205479452055,0.19452054794520549,0.41643835616438357,btc_1h,train
674,2024-11-18 23:00:00,2024-11-19,2024-11-19 23:00:00,90507.4,90507.4,92335.9,92076.634375,0.0173381886453483,0.8,1,0.0202027679504659,0.0188027679504659,0.00675751585930584,-0.006227861555252678,0.020044202058179472,0.197506215276813,0.011203181544639802,0.007877808886345192,0.008956066041595576,0.005812014817604437,0.894454853623117,43.58687251035492,False,False,True,True,0.6684931506849315,0.410958904109589,0.8575342465753425,0.4301369863013699,0.5808219178082191,0.1917808219178082,0.4273972602739726,0.1506849315068493,btc_1h,train
675,2024-11-19 23:00:00,2024-11-20,2024-11-20 23:00:00,92335.9,92335.9,94288.0,92929.5109375,0.0064288206158169,0.6,1,0.021141289574261,0.019741289574261,0.02020276795046594,0.018673194819694316,0.04960555631337238,0.21719786868865287,0.00889086296157109,0.008857485429707053,0.005671381350515814,0.006444254444370242,0.5964884806506631,53.93463396972603,True,True,True,True,0.473972602739726,0.473972602739726,0.43561643835616437,0.4794520547945205,0.3643835616438356,0.4383561643835616,0.5945205479452055,0.3041095890410959,btc_1h,train
676,2024-11-20 23:00:00,2024-11-21,2024-11-21 23:00:00,94288.0,94288.0,98366.8,94661.1515625,0.0039575721459782,0.6,1,0.0432589512981502,0.0418589512981502,0.02114128957426109,0.04881095529583468,0.04285542060736636,0.23280972566165725,0.007432988998246537,0.008964584865282729,0.003338857804760433,0.00633156125449413,0.37901648702699386,65.77710956587113,True,True,True,True,0.3287671232876712,0.4684931506849315,0.06027397260273973,0.4054794520547945,0.11506849315068493,0.7232876712328767,0.5945205479452055,0.4958904109589041,btc_1h,train
677,2024-11-21 23:00:00,2024-11-22,2024-11-22 23:00:00,98366.8,98366.8,98921.4,97472.4609375,-0.0090918791960295,0.2,-1,-0.005638081141198,-0.007038081141198,0.04325895129815027,0.08683709840300358,0.12570108270859115,0.28290409794053084,0.009360712489715359,0.008277084115552993,0.006017783679932103,0.005094086298703705,0.42003975991996007,57.28213769860369,True,True,True,True,0.536986301369863,0.32602739726027397,0.5698630136986301,0.20821917808219179,0.15342465753424658,0.5013698630136987,0.821917808219178,0.663013698630137,btc_1h,train
