scope,score_col,side,long_threshold,short_threshold,min_abs_pred_ret,validation_positive_fold_rate,validation_trades,validation_accuracy,validation_avg_gross_return,validation_avg_net_return,validation_compounded_return,validation_max_drawdown,validation_profit_factor
all_assets_pooled,score_raw,both,0.6,0.3,0.002,0.0,577,0.48180242634315423,-0.0007520213412666398,-0.0021520213412666396,-0.5323585657467578,-0.5494942918600565,0.5989378641849344
all_assets_pooled,score_raw,both,0.6,0.3,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.6,0.3,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.6,0.25,0.0,0.0,878,0.4874715261958998,-0.00041480714848490845,-0.0018148071484849078,-0.49909952571701344,-0.5142256286564684,0.6355074130839279
all_assets_pooled,score_raw,both,0.6,0.25,0.001,0.0,725,0.4731034482758621,-0.0008387504054212342,-0.0022387504054212338,-0.5896568284435222,-0.592948958471798,0.5849546289997031
all_assets_pooled,score_raw,both,0.6,0.25,0.002,0.0,577,0.48180242634315423,-0.0007520213412666398,-0.0021520213412666396,-0.5323585657467578,-0.5494942918600565,0.5989378641849344
all_assets_pooled,score_raw,both,0.6,0.25,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.6,0.25,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.6,0.2,0.0,0.0,878,0.4874715261958998,-0.00041480714848490845,-0.0018148071484849078,-0.49909952571701344,-0.5142256286564684,0.6355074130839279
all_assets_pooled,score_raw,both,0.6,0.2,0.001,0.0,725,0.4731034482758621,-0.0008387504054212342,-0.0022387504054212338,-0.5896568284435222,-0.592948958471798,0.5849546289997031
all_assets_pooled,score_raw,both,0.6,0.2,0.002,0.0,577,0.48180242634315423,-0.0007520213412666398,-0.0021520213412666396,-0.5323585657467578,-0.5494942918600565,0.5989378641849344
all_assets_pooled,score_raw,both,0.6,0.2,0.005,0.3333333333333333,254,0.47244094488188976,-0.0005060997729928404,-0.00190609977299284,-0.3314963854771258,-0.3669497426131729,0.6546666743099289
all_assets_pooled,score_raw,both,0.6,0.2,0.01,0.6666666666666666,51,0.49019607843137253,0.0015448871251030512,0.00014488712510305192,-0.010522530915870076,-0.07088966946462427,1.0289260077055233
all_assets_pooled,score_raw,both,0.65,0.45,0.0,0.3333333333333333,892,0.507847533632287,-0.0003732174379224506,-0.0017732174379224501,-0.5132792233972934,-0.5623045107801153,0.6400096885614133
