signal_number,signal_timestamp,entry_timestamp,exit_timestamp,upside_probability,forecast_return,position,exit_reason,exit_price,underlying_return,net_return,equity
625,2024-09-30 23:00:00,2024-10-01,2024-10-01 23:00:00,0.4,-0.0002511857497579,0,flat,,0.0,0.0,0.0337158349307048
626,2024-10-01 23:00:00,2024-10-02,2024-10-02 23:00:00,0.4,-0.0015265770614774,0,flat,,0.0,0.0,0.0337158349307048
627,2024-10-02 23:00:00,2024-10-03,2024-10-03 23:00:00,0.6,0.000720492440113,0,flat,,0.0,0.0,0.0337158349307048
628,2024-10-03 23:00:00,2024-10-04,2024-10-04 23:00:00,0.8,0.0110272610543545,0,flat,,0.0,0.0,0.0337158349307048
629,2024-10-04 23:00:00,2024-10-05,2024-10-05 23:00:00,0.4,-0.0009405809660555,0,flat,,0.0,0.0,0.0337158349307048
630,2024-10-05 23:00:00,2024-10-06,2024-10-06 23:00:00,0.0,-0.0074354731342032,0,flat,,0.0,0.0,0.0337158349307048
631,2024-10-06 23:00:00,2024-10-07,2024-10-07 23:00:00,0.2,-0.004041505180819,0,flat,,0.0,0.0,0.0337158349307048
632,2024-10-07 23:00:00,2024-10-08,2024-10-08 23:00:00,0.8,0.0069074083826038,0,flat,,0.0,0.0,0.0337158349307048
633,2024-10-08 23:00:00,2024-10-09,2024-10-09 23:00:00,0.2,-0.0058359651755866,0,flat,,0.0,0.0,0.0337158349307048
634,2024-10-09 23:00:00,2024-10-10,2024-10-10 23:00:00,0.8,0.0036071633936349,0,flat,,0.0,0.0,0.0337158349307048
635,2024-10-10 23:00:00,2024-10-11,2024-10-11 23:00:00,0.8,0.0097493633195783,0,flat,,0.0,0.0,0.0337158349307048
636,2024-10-11 23:00:00,2024-10-12,2024-10-12 23:00:00,0.2,-0.0083911291773984,0,flat,,0.0,0.0,0.0337158349307048
637,2024-10-12 23:00:00,2024-10-13,2024-10-13 23:00:00,0.8,0.0016274598937887,0,flat,,0.0,0.0,0.0337158349307048
