signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile,rule_exit_reason,rule_underlying_return,rule_net_return,rule_equity,leverage,stop_margin_loss,split
1020,2025-10-30 23:00:00,2025-10-31,2025-10-31 23:00:00,108263.5,108263.6,109557.3,108704.603125,0.0040743475409533,1.0,1,0.011949537979524,0.010549537979524,True,True,True,True,0.0089778641924563,0.0074043633046929,0.0055219001734388,0.00575652861007,0.005162267160949,0.0118796296373535,5,5,4,5,4,0.8356164383561644,0.9123287671232876,0.7726027397260274,time,0.011949537979524028,0.10549537979524028,16.685489754584523,10.0,0.3,test
1025,2025-11-04 23:00:00,2025-11-05,2025-11-05 23:00:00,101450.3,101450.2,103837.0,103957.8765625,0.024717290757149,1.0,1,0.0235268141413225,0.0221268141413225,True,True,True,True,0.011639566368951,0.0075730541176195,0.0058294737452303,0.00582960730331,0.0041181069686676,0.0232533385483276,5,5,4,5,3,0.926027397260274,0.9232876712328768,0.8054794520547945,time,0.023526814141322516,0.22126814141322515,20.37745706115085,10.0,0.3,test
1035,2025-11-14 23:00:00,2025-11-15,2025-11-15 23:00:00,94544.9,94544.9,95560.3,97567.0671875,0.0319654173572557,1.0,1,0.0107398706857799,0.0093398706857799,True,True,True,True,0.0129568949074284,0.0069280748683511,0.0062198493648325,0.0058233253961594,0.0036147328959158,0.0106826079063155,5,5,5,5,3,0.9561643835616438,0.8931506849315068,0.863013698630137,time,0.010739870685779973,0.09339870685779973,22.28068519971268,10.0,0.3,test
1038,2025-11-17 23:00:00,2025-11-18,2025-11-18 23:00:00,92169.7,92169.8,92916.9,94402.9515625,0.0242297800958449,1.0,1,0.0081056918860624,0.0067056918860624,True,True,True,True,0.0096600799033377,0.0064549997097624,0.0048789842120447,0.0044928440992688,0.0058664881793014,0.0080741021687112,5,5,4,5,4,0.8794520547945206,0.863013698630137,0.6876712328767123,time,0.008105691886062472,0.06705691886062472,23.774759299308933,10.0,0.3,test
1041,2025-11-20 23:00:00,2025-11-21,2025-11-21 23:00:00,86601.3,86601.4,85093.5,89257.34375,0.0306697907537184,1.0,1,-0.0174119586981271,-0.0188119586981271,False,True,False,False,0.0114279943449655,0.0078173862813883,0.0069609296625868,0.0060799202222285,0.0111848859187259,0.017564175069444,5,5,5,5,5,0.9342465753424658,0.947945205479452,0.9123287671232876,time,-0.017411958698127172,-0.18811958698127174,19.302261399343788,10.0,0.3,test
1069,2025-12-18 23:00:00,2025-12-19,2025-12-19 23:00:00,85469.7,85469.8,88100.0,86825.5,0.0158629315418212,1.0,1,0.0307734427832988,0.0293734427832988,True,True,True,True,0.0093690122542452,0.0074521550750761,0.0069464731089955,0.0046711480747334,0.0048825122903523,0.0303106057738774,5,5,5,5,4,0.863013698630137,0.9232876712328768,0.9095890410958904,time,0.030773442783298854,0.29373442783298853,24.972000107362817,10.0,0.3,test
1111,2026-01-29 23:00:00,2026-01-30,2026-01-30 23:00:00,84604.7,84604.7,84211.4,85895.0,0.0152509257759912,1.0,1,-0.0046486779103288,-0.0060486779103288,False,True,False,False,0.0079209054973698,0.0067847919592875,0.0052352574244846,0.0045843683594759,0.00606888405411,0.0046595166169682,4,5,4,5,5,0.8164383561643835,0.9095890410958904,0.8,time,-0.004648677910328858,-0.06048677910328858,23.461524253101462,10.0,0.3,test
1113,2026-01-31 23:00:00,2026-02-01,2026-02-01 23:00:00,78706.8,78706.7,76931.5,81574.1375,0.0364306197177371,1.0,1,-0.02255462368515,-0.02395462368515,False,True,False,False,0.0114575551286547,0.0059772250705782,0.0063006925727027,0.0042382484501815,0.0051873724016667,0.022814140230902,5,4,5,4,4,0.9534246575342464,0.8410958904109589,0.9041095890410958,time,-0.022554623685150044,-0.23954623685150045,17.841404407470797,10.0,0.3,test
1118,2026-02-05 23:00:00,2026-02-06,2026-02-06 23:00:00,62868.1,62868.1,70544.5,68606.91875,0.0912834768348336,1.0,1,0.1221032606361574,0.1207032606361574,True,True,True,True,0.022743847833798,0.0111552693462121,0.0104692286150207,0.0097620849313518,0.0132978947856763,0.1152048355183065,5,5,5,5,5,1.0,0.9808219178082191,0.989041095890411,time,0.1221032606361574,1.207032606361574,39.37656127057115,10.0,0.3,test
1136,2026-02-23 23:00:00,2026-02-24,2026-02-24 23:00:00,64625.8,64625.8,64031.3,66417.41640625,0.0277229280914124,1.0,1,-0.0091991124287823,-0.0105991124287823,False,True,False,False,0.0101723434500359,0.0089541595584302,0.0055327448192006,0.005560150017474,0.0047135585368265,0.0092416855546393,5,5,4,5,4,0.8986301369863013,0.9616438356164384,0.7917808219178082,time,-0.009199112428782352,-0.10599112428782352,35.20299527091495,10.0,0.3,test
