rule,side,n,direction_accuracy,avg_unlevered_direction_return,avg_original_net_return,vol_col,vol_rule,p_rule,leakage_safe
p_ge_0p8+pre_vol_24_quintile:mid_vol_q2_q4,long,175,0.5028571428571429,0.0019168785434544337,0.0007330913358486782,pre_vol_24_quintile,mid_vol_q2_q4,p_ge_0p8,False
p_ge_0p8+atr_24_pct_quintile:mid_vol_q2_q4,long,177,0.5028248587570622,0.0011836083601665525,-1.3072702267944399e-05,atr_24_pct_quintile,mid_vol_q2_q4,p_ge_0p8,False
p_ge_0p6+atr_24_pct_quintile:mid_vol_q2_q4,long,310,0.5,0.0022672362957736995,0.001103233477283243,atr_24_pct_quintile,mid_vol_q2_q4,p_ge_0p6,False
p_le_0p4+pre_vol_72_quintile:high_vol_q5,short,124,0.5,-0.00015527930345459148,-0.0019722111196080754,pre_vol_72_quintile,high_vol_q5,p_le_0p4,False
p_eq_0+pre_vol_72_quintile:low_vol_q1_q2,short,70,0.5,-0.001691516093491014,-0.003297598935928933,pre_vol_72_quintile,low_vol_q1_q2,p_eq_0,False
p_ge_0p8+pre_vol_24_quintile:low_vol_q1,long,58,0.5,-0.004647957198137228,-0.005834841477809549,pre_vol_24_quintile,low_vol_q1,p_ge_0p8,False
p_ge_0p8+atr_24_pct_quintile:low_vol_q1,long,54,0.5,-0.004113129618091703,-0.0053346083551899645,atr_24_pct_quintile,low_vol_q1,p_ge_0p8,False
p_eq_0+pre_vol_24_quintile:low_vol_q1,short,36,0.5,0.0007783364551728277,-0.000820591311261275,pre_vol_24_quintile,low_vol_q1,p_eq_0,False
p_ge_0p6+atr_24_pct_quintile:low_vol_q1_q2,long,199,0.49748743718592964,-0.00016110906125037095,-0.0013461711662867608,atr_24_pct_quintile,low_vol_q1_q2,p_ge_0p6,False
p_le_0p2+pre_vol_24_quintile:high_vol_q4_q5,short,143,0.4965034965034965,-0.0013493706022574873,-0.003184933186444765,pre_vol_24_quintile,high_vol_q4_q5,p_le_0p2,False
p_le_0p4+atr_24_pct_quintile:low_vol_q1_q2,short,274,0.49635036496350365,-0.001487803115139456,-0.0031055823426788766,atr_24_pct_quintile,low_vol_q1_q2,p_le_0p4,False
p_ge_0p6+pre_vol_24_quintile:mid_vol_q2_q4,long,305,0.49508196721311476,0.002298785251425943,0.0011491310092195286,pre_vol_24_quintile,mid_vol_q2_q4,p_ge_0p6,False
p_ge_0p6+pre_vol_72_quintile:low_vol_q1,long,101,0.49504950495049505,-0.0015038397559763276,-0.002650663717275763,pre_vol_72_quintile,low_vol_q1,p_ge_0p6,False
p_le_0p2+atr_24_pct_quintile:all_vol,short,394,0.4949238578680203,-0.0008443601870361235,-0.0025625819016412517,atr_24_pct_quintile,all_vol,p_le_0p2,False
p_le_0p2+pre_vol_24_quintile:all_vol,short,394,0.4949238578680203,-0.0008443601870361235,-0.0025625819016412517,pre_vol_24_quintile,all_vol,p_le_0p2,False
p_le_0p2+pre_vol_72_quintile:all_vol,short,394,0.4949238578680203,-0.0008443601870361235,-0.0025625819016412517,pre_vol_72_quintile,all_vol,p_le_0p2,False
p_ge_0p6+atr_24_pct_quintile:low_vol_q1,long,97,0.4948453608247423,-0.0034622963252357477,-0.004683295443065467,atr_24_pct_quintile,low_vol_q1,p_ge_0p6,False
