signal_number,signal_timestamp,entry_timestamp,exit_timestamp,current_close,entry_open,exit_close,mean_final_pred_close,forecast_return,upside_probability,position,gross_return,net_return,actual_up,mean_pred_up,mean_pred_correct,prob_signal_correct,atr_24_pct,pre_vol_24,pre_vol_72,pre_abs_ret_24,future_vol_24,future_abs_ret_24,atr_24_pct_quintile,pre_vol_24_quintile,pre_vol_72_quintile,pre_abs_ret_24_quintile,future_vol_24_quintile,atr_24_pct_live_percentile,pre_vol_24_live_percentile,pre_vol_72_live_percentile
179,2023-07-12 23:00:00,2023-07-13,2023-07-13 23:00:00,30368.9,30368.9,31441.7,30356.448828125,-0.0004099974603953,0.4,-1,-0.03532561271564,-0.03672561271564,True,False,False,False,0.0048927521247065136,0.0027583653784559905,0.0034101740588375323,0.0019440606910815876,0.004614508320986692,0.034715978898230845,2,2,2,2,4,0.21910112359550563,0.24157303370786518,0.23595505617977527
180,2023-07-13 23:00:00,2023-07-14,2023-07-14 23:00:00,31441.7,31441.6,30293.3,30900.264453125,-0.0172203012838046,0.0,-1,0.0365216782860923,0.0351216782860923,False,False,True,True,0.007038290974512629,0.004614508320986685,0.0034383662419903292,0.0034309428509222695,0.005711797085926485,0.037208471394014585,3,4,2,4,4,0.5921787709497207,0.6145251396648045,0.24581005586592178
181,2023-07-14 23:00:00,2023-07-15,2023-07-15 23:00:00,30293.3,30293.3,30276.4,30351.700390625,0.0019278319174536,0.8,1,-0.0005578791349901,-0.0019578791349901,False,True,False,False,0.006792481065670189,0.0057117970859264814,0.0046331709179509295,0.0032336581925835883,0.000736488250682425,0.0005580348074551035,3,4,3,3,1,0.5555555555555556,0.7833333333333333,0.5611111111111111
182,2023-07-15 23:00:00,2023-07-16,2023-07-16 23:00:00,30276.4,30276.5,30216.8,30195.337890625,-0.0026774025107014,0.0,-1,0.0019718263339554,0.0005718263339554,False,False,True,True,0.0019641260739938315,0.0007364882506823891,0.004377251322405719,0.0006035348805722615,0.0015107632720050745,0.001970470045702268,1,1,3,1,1,0.0,0.0,0.5303867403314917
183,2023-07-16 23:00:00,2023-07-17,2023-07-17 23:00:00,30216.8,30216.9,30126.1,30326.568359375,0.0036326930507201,0.6,1,-0.0030049409436442,-0.0044049409436442,False,True,False,False,0.002960687432156939,0.0015107632720050574,0.0034626118879551976,0.0011110566008987928,0.0033635116581766126,0.0030061554318544757,1,1,2,1,2,0.04945054945054945,0.02197802197802198,0.24725274725274726
184,2023-07-17 23:00:00,2023-07-18,2023-07-18 23:00:00,30126.1,30126.0,29845.6,30343.04375,0.0072011893341654,0.6,1,-0.009307574852287,-0.010707574852287,False,True,False,False,0.0050164143383976175,0.0033635116581766044,0.002140490155431407,0.002186194028565014,0.002860303438803711,0.009354480378473577,2,2,1,2,2,0.2568306010928962,0.4262295081967213,0.02185792349726776
185,2023-07-18 23:00:00,2023-07-19,2023-07-19 23:00:00,29845.6,29845.7,29895.5,29964.27578125,0.0039763241901654,0.6,1,0.0016685820737996,0.0002685820737996,True,True,True,True,0.005326580802530379,0.002860303438803702,0.002659561034932975,0.002319609386053504,0.002679387666991498,0.0016705421093588543,2,2,1,2,2,0.31521739130434784,0.28804347826086957,0.08695652173913043
186,2023-07-19 23:00:00,2023-07-20,2023-07-20 23:00:00,29895.5,29895.5,29791.0,30096.751171875,0.0067318215743171,1.0,1,-0.0034955093575955,-0.0048955093575955,False,True,False,False,0.004804792248554684,0.0026793876669914886,0.0029456246101044496,0.002133079186204719,0.0037874920893021715,0.003501632924585074,2,2,1,2,3,0.21621621621621623,0.22162162162162163,0.15135135135135136
187,2023-07-20 23:00:00,2023-07-21,2023-07-21 23:00:00,29791.0,29791.0,29891.4,29798.016796875,0.0002355341168473,0.4,-1,-0.0033701453459098,-0.0047701453459098,True,True,True,False,0.005104310026518086,0.0037874920893021646,0.0031078346946319417,0.0021959014181819705,0.0018000851341371188,0.0033644791331550014,2,3,1,2,1,0.26344086021505375,0.5053763440860215,0.1774193548387097
188,2023-07-21 23:00:00,2023-07-22,2023-07-22 23:00:00,29891.4,29891.5,29783.5,29864.900390625,-0.0008865295494691,0.6,1,-0.0036130672599233,-0.0050130672599233,False,False,True,False,0.0032322563234464257,0.0018000851341371036,0.0028350178378208964,0.0014512685363419948,0.0011243276222827302,0.0036162647138858225,1,1,1,1,1,0.06951871657754011,0.0962566844919786,0.12299465240641712
189,2023-07-22 23:00:00,2023-07-23,2023-07-23 23:00:00,29783.5,29783.5,30070.8,29697.385546875,-0.0028913476631356,0.2,-1,-0.009646280658754,-0.011046280658754,True,False,False,False,0.002166607909301007,0.0011243276222827065,0.0024748612832242944,0.0008669044734647505,0.002525464668529453,0.009600052343262673,1,1,1,1,1,0.005319148936170213,0.010638297872340425,0.05319148936170213
190,2023-07-23 23:00:00,2023-07-24,2023-07-24 23:00:00,30070.8,30070.9,29163.8,30006.316015625,-0.0021444053492091,0.2,-1,0.0301653758284587,0.0287653758284587,False,False,True,True,0.003211587320590068,0.002525464668529441,0.0018911872207341104,0.001791890947024477,0.0045653428436230525,0.030626387085017494,1,1,1,1,4,0.06878306878306878,0.19576719576719576,0.005291005291005291
191,2023-07-24 23:00:00,2023-07-25,2023-07-25 23:00:00,29163.8,29163.8,29216.3,29609.151171875,0.0152706839257916,1.0,1,0.0018001769316755,0.0004001769316755,True,True,True,True,0.0053273807482792585,0.004565342843623048,0.003117816195967292,0.002667736437396743,0.0017941307068943125,0.0017985585551345466,2,4,1,3,1,0.3368421052631579,0.6210526315789474,0.2
192,2023-07-25 23:00:00,2023-07-26,2023-07-26 23:00:00,29216.3,29216.2,29336.0,29418.287109375,0.0069135075069397,1.0,1,0.0041004648106186,0.0027004648106186,True,True,True,True,0.0030118746498815235,0.0017941307068942963,0.0032240833496757553,0.0012604739687059514,0.002557309594250776,0.004088658063074368,1,1,2,1,2,0.05759162303664921,0.09424083769633508,0.2198952879581152
193,2023-07-26 23:00:00,2023-07-27,2023-07-27 23:00:00,29336.0,29336.0,29209.7,29455.169140625,0.0040622150472116,0.8,1,-0.0043052904281428,-0.0057052904281428,False,True,False,False,0.004537513635124075,0.0025573095942507643,0.003217991694096258,0.0019413602010635393,0.0017349591057994336,0.004314584877440275,2,2,2,2,1,0.1875,0.20833333333333334,0.21875
194,2023-07-27 23:00:00,2023-07-28,2023-07-28 23:00:00,29209.7,29209.8,29299.9,29240.730078125,0.0010623210140808,0.6,1,0.0030845812021993,0.0016845812021993,True,True,True,True,0.0029321024636793183,0.001734959105799417,0.0020392469728003357,0.0014731780979074423,0.0021507910997900577,0.003083257156329586,1,1,1,1,1,0.046632124352331605,0.08808290155440414,0.015544041450777202
195,2023-07-28 23:00:00,2023-07-29,2023-07-29 23:00:00,29299.9,29300.0,29339.1,29250.37421875,-0.0016903054703259,0.4,-1,-0.0013344709897611,-0.0027344709897611,True,False,False,False,0.0029335993183139644,0.002150791099790044,0.00214869340555064,0.0014761338886742543,0.0007141908710069692,0.0013369943498128575,1,1,1,1,1,0.05154639175257732,0.14432989690721648,0.03608247422680412
196,2023-07-29 23:00:00,2023-07-30,2023-07-30 23:00:00,29339.1,29339.1,29271.1,29299.884375,-0.0013366335368159,0.2,-1,0.0023177261742861,0.0009177261742861,False,False,True,True,0.0014399157892823415,0.0007141908710069285,0.0016298506129922236,0.0005040649633086444,0.0018828971462300536,0.0023204162589859395,1,1,1,1,1,0.0,0.0,0.0
