p_rule,filters,side,leverage,train_trades,train_accuracy,train_avg_net,train_total_return,train_max_drawdown,val_trades,val_accuracy,val_avg_net,val_total_return,val_max_drawdown,test_trades,test_accuracy,test_avg_net,test_total_return,test_max_drawdown
short_p0,high_vol24+rsi_hot,-1,2.0,9,0.6666666666666666,-0.004162005475548837,-0.06339041339934826,-0.1968580909843446,7,0.14285714285714285,-0.04179648777464508,-0.26338407043924794,-0.29401368745905565,2,0.5,-0.007221073642561167,-0.015181112896363036,0.0
short_p0,high_vol24+rsi_hot,-1,3.0,9,0.6666666666666666,-0.006243008213323256,-0.11609507164851751,-0.29528713647651683,7,0.14285714285714285,-0.06269473166196762,-0.3744268976220434,-0.4126506266975981,2,0.5,-0.010831610463841755,-0.023325893552975208,0.0
short_p0,high_vol24+rsi_hot,-1,5.0,9,0.6666666666666666,-0.010405013688872108,-0.26863097979880524,-0.4921452274608614,7,0.14285714285714285,-0.10449121943661273,-0.5594943270110804,-0.602598095209073,2,0.5,-0.018052684106402924,-0.040723903283060636,0.0
short_p0,high_vol24+rsi_hot,-1,10.0,9,0.6666666666666666,-0.020810027377744216,-0.9692727948608186,-0.9842904549217228,7,0.14285714285714285,-0.20898243887322546,-0.8466743877749597,-0.874005994998935,2,0.5,-0.03610536821280585,-0.09068487670663106,0.0
short_p0,high_vol24+high_volume,-1,1.0,3,0.3333333333333333,-0.032485934059253416,-0.0977919199913524,-0.01578691470368032,2,0.0,-0.011744345217146887,-0.023421097163340288,-0.020131023559979977,2,0.5,-0.0036105368212805836,-0.007405815045371411,0.0
short_p0,high_vol24+high_volume,-1,2.0,3,0.3333333333333333,-0.06497186811850683,-0.19614791420985578,-0.03157382940736064,2,0.0,-0.023488690434293774,-0.0467070077847741,-0.040262047119960065,2,0.5,-0.007221073642561167,-0.015181112896363036,0.0
short_p0,high_vol24+high_volume,-1,3.0,3,0.3333333333333333,-0.09745780217776023,-0.29491174055545977,-0.047360744111041075,2,0.0,-0.03523303565144067,-0.06985773186430089,-0.06039307067994004,2,0.5,-0.010831610463841755,-0.023325893552975208,0.0
short_p0,high_vol24+high_volume,-1,5.0,3,0.3333333333333333,-0.1624296702962671,-0.49303792122776713,-0.07893457351840183,2,0.0,-0.05872172608573445,-0.11575362039763448,-0.1006551177999001,2,0.5,-0.018052684106402924,-0.040723903283060636,0.0
short_p0,high_vol24+high_volume,-1,10.0,3,0.3333333333333333,-0.3248593405925342,-0.9845534881292646,-0.15786914703680366,2,0.0,-0.1174434521714689,-0.22812757724760035,-0.2013102355998002,2,0.5,-0.03610536821280585,-0.09068487670663106,0.0
short_p0,high_atr+mom24_up,-1,1.0,20,0.5,-0.01006694128603813,-0.19956164948323274,-0.2254814058149287,6,0.16666666666666666,-0.023821673389490674,-0.13595282988787816,-0.15429845083258564,3,0.3333333333333333,-0.00897967914874761,-0.02697775125605162,-0.017673871381334805
short_p0,high_atr+mom24_up,-1,2.0,20,0.5,-0.02013388257207626,-0.38879205175777776,-0.4271796414958161,6,0.16666666666666666,-0.04764334677898135,-0.25840400583176304,-0.28924070155505754,3,0.3333333333333333,-0.01795935829749522,-0.05401835923454623,-0.03534774276266972
short_p0,high_atr+mom24_up,-1,3.0,20,0.5,-0.030200823858114394,-0.5588597574394218,-0.5991996224295106,6,0.16666666666666666,-0.07146502016847202,-0.3680613795041279,-0.40667405407468527,3,0.3333333333333333,-0.026939037446242837,-0.08109996758972193,-0.053021614144004525
short_p0,high_atr+mom24_up,-1,5.0,20,0.5,-0.05033470643019067,-0.8177369041628251,-0.8439750121053979,6,0.16666666666666666,-0.11910836694745337,-0.5519726948038546,-0.5958124596325626,3,0.3333333333333333,-0.04489839574373807,-0.13529876004706887,-0.08836935690667425
short_p0,high_atr+mom24_up,-1,10.0,20,0.5,-0.10066941286038134,-1.0000970770241728,-1.0000958271171307,6,0.16666666666666666,-0.23821673389490675,-0.841347360658568,-0.869628556217485,3,0.3333333333333333,-0.08979679148747614,-0.2699833035790209,-0.1767387138133485
short_p0,high_atr+trend72_up,-1,1.0,23,0.43478260869565216,-0.011312094167012591,-0.24580969796282104,-0.2702318522035708,4,0.25,-0.017631178142880885,-0.06981152052859063,-0.08956146687619793,5,0.4,-0.0019238088238620252,-0.010280980170461973,-0.02423491767774877
short_p0,high_atr+trend72_up,-1,2.0,23,0.43478260869565216,-0.022624188334025182,-0.45813938375087593,-0.4921715377691491,4,0.25,-0.03526235628576177,-0.13806949910842203,-0.17390988767528748,5,0.4,-0.0038476176477240504,-0.021856101319837062,-0.048233744540051915
short_p0,high_atr+trend72_up,-1,3.0,23,0.43478260869565216,-0.03393628250103777,-0.6325654852809671,-0.6661653641549267,4,0.25,-0.05289353442864266,-0.20459286435927215,-0.2531937820488648,5,0.4,-0.005771426471586079,-0.0346795719594265,-0.07199648058690855
short_p0,high_atr+trend72_up,-1,5.0,23,0.43478260869565216,-0.05656047083506297,-0.8666357087513326,-0.8858344755307211,4,0.25,-0.08815589071440444,-0.3317759054472632,-0.39716207012587157,5,0.4,-0.009619044119310137,-0.06388078073696812,-0.11881368023428374
short_p0,high_atr+trend72_up,-1,10.0,23,0.43478260869565216,-0.11312094167012594,-1.0000497206492451,-1.0000490804752167,4,0.25,-0.17631178142880888,-0.6091835679182107,-0.6788499534837035,5,0.4,-0.019238088238620273,-0.15524605065470076,-0.2317250900824145
short_p0,high_atr+rsi_hot,-1,1.0,10,0.8,0.008767700232019508,0.08182936315311995,-0.10173049194196526,6,0.16666666666666666,-0.023821673389490674,-0.13595282988787816,-0.15429845083258564,3,0.6666666666666666,0.003867387234453266,0.011278018901022202,0.0
short_p0,high_atr+rsi_hot,-1,2.0,10,0.8,0.017535400464039015,0.1481027333033189,-0.20274011278405357,6,0.16666666666666666,-0.04764334677898135,-0.25840400583176304,-0.28924070155505754,3,0.6666666666666666,0.007734774468906532,0.021893842473756475,0.0
short_p0,high_atr+rsi_hot,-1,3.0,10,0.8,0.02630310069605852,0.19226357748695078,-0.3030288625262645,6,0.16666666666666666,-0.07146502016847202,-0.3680613795041279,-0.40667405407468527,3,0.6666666666666666,0.011602161703359794,0.031826606132782986,0.0
short_p0,high_atr+rsi_hot,-1,5.0,10,0.8,0.04383850116009752,0.18243105359590772,-0.5014437487110555,6,0.16666666666666666,-0.11910836694745337,-0.5519726948038546,-0.5958124596325626,3,0.6666666666666666,0.019336936172266322,0.04955949536803628,0.0
short_p0,high_atr+rsi_hot,-1,10.0,10,0.8,0.08767700232019504,-0.9253285405382877,-0.984865719925184,6,0.16666666666666666,-0.23821673389490675,-0.841347360658568,-0.869628556217485,3,0.6666666666666666,0.038673872344532643,0.080477648986931,0.0
short_p0,high_atr+high_volume,-1,1.0,4,0.5,-0.008062425916530877,-0.03896064663215382,-0.01578691470368032,1,0.0,-0.02013102355998002,-0.020131023559979977,0.0,2,0.5,-0.0036105368212805836,-0.007405815045371411,0.0
short_p0,high_atr+high_volume,-1,2.0,4,0.5,-0.016124851833061754,-0.09131258221187899,-0.03157382940736064,1,0.0,-0.04026204711996004,-0.040262047119960065,0.0,2,0.5,-0.007221073642561167,-0.015181112896363036,0.0
short_p0,high_atr+high_volume,-1,3.0,4,0.5,-0.02418727774959263,-0.15697934651168566,-0.047360744111041075,1,0.0,-0.06039307067994006,-0.06039307067994004,0.0,2,0.5,-0.010831610463841755,-0.023325893552975208,0.0
short_p0,high_atr+high_volume,-1,5.0,4,0.5,-0.0403121295826544,-0.32774775535654765,-0.07893457351840183,1,0.0,-0.1006551177999001,-0.1006551177999001,0.0,2,0.5,-0.018052684106402924,-0.040723903283060636,0.0
short_p0,high_atr+high_volume,-1,10.0,4,0.5,-0.0806242591653088,-0.9744811114519837,-0.15786914703680366,1,0.0,-0.2013102355998002,-0.2013102355998002,0.0,2,0.5,-0.03610536821280585,-0.09068487670663106,0.0
short_p0,low_vol24+mom24_down,-1,1.0,14,0.6428571428571429,0.004519924125063378,0.0612147800715801,-0.06653307166462752,5,0.8,0.022789674620047575,0.11734094449023003,-0.003059076801588567,4,0.25,-0.010374922157005598,-0.041075161654987924,-0.045117553305778824
short_p0,low_vol24+mom24_down,-1,2.0,14,0.6428571428571429,0.009039848250126756,0.1176334528141596,-0.1310344671669964,5,0.8,0.04557934924009515,0.24150244395603804,-0.006118153603177023,4,0.25,-0.020749844314011195,-0.08130057102482069,-0.08901369518023305
short_p0,low_vol24+mom24_down,-1,3.0,14,0.6428571428571429,0.013559772375190127,0.1682411337475298,-0.19352792998820767,5,0.8,0.06836902386014272,0.3725361806111165,-0.00917723040476559,4,0.25,-0.031124766471016797,-0.12067536430422798,-0.1317028902546481
short_p0,low_vol24+mom24_down,-1,5.0,14,0.6428571428571429,0.02259962062531688,0.2479061637902873,-0.3125860315115624,5,0.8,0.11394837310023787,0.6554175521780421,-0.015295384007942503,4,0.25,-0.051874610785028,-0.19687087205975562,-0.213518298528504
short_p0,low_vol24+mom24_down,-1,10.0,14,0.6428571428571429,0.04519924125063376,0.27343713951064075,-0.5767545070767774,5,0.8,0.22789674620047573,1.486136844833072,-0.030590768015885006,4,0.25,-0.103749221570056,-0.37246054402639917,-0.397947774402463
short_p0,low_atr+rsi_mid,-1,1.0,16,0.5625,-0.0011873212493235883,-0.021963298670560794,-0.09284326100832807,4,1.0,0.029251862475456594,0.12076946435857816,0.0,6,0.3333333333333333,-0.0024724427428678294,-0.015138765453039826,-0.0373282666902085
short_p0,low_atr+rsi_mid,-1,2.0,16,0.5625,-0.0023746424986471767,-0.04963177187560419,-0.1800979529049448,4,1.0,0.05850372495091319,0.24914490435349856,0.0,6,0.3333333333333333,-0.004944885485735659,-0.03086300643248474,-0.07371168926514748
short_p0,low_atr+rsi_mid,-1,3.0,16,0.5625,-0.003561963747970769,-0.08263290887299779,-0.26194244036076,4,1.0,0.08775558742636977,0.3852489292023613,0.0,6,0.3333333333333333,-0.00741732822860349,-0.04713882023165916,-0.10916388621472084
short_p0,low_atr+rsi_mid,-1,5.0,16,0.5625,-0.0059366062466179505,-0.16294733077582702,-0.41010366235969287,4,1.0,0.14625931237728296,0.6811310978879319,0.0,6,0.3333333333333333,-0.012362213714339154,-0.08121102127028268,-0.17732865930577724
