asset,p_rule,filter,side,n,accuracy,avg_net_1x,total_1x,avg_net_10x,total_10x
btc_5m,short_p20,rsi_hot,-1,90,0.4666666666666667,-0.0018919562766530507,-0.15898793636877084,-0.01891956276653051,-0.865458009322755
btc_5m,long_p80,low_atr,1,66,0.48484848484848486,-0.0019031270831192946,-0.1194102890195895,-0.01903127083119295,-0.7596833035247859
btc_5m,short_p20,mom72_up,-1,132,0.49242424242424243,-0.0019086681831836686,-0.22640687884845345,-0.019086681831836688,-0.9523714774093697
btc_5m,short_p20,rsi_cold,-1,56,0.48214285714285715,-0.0020174517528967336,-0.10895058990420636,-0.020174517528967345,-0.7519975954757487
btc_5m,short_p20,mom24_up,-1,144,0.4861111111111111,-0.002041846442358363,-0.25830762656402806,-0.02041846442358363,-0.9683728834287455
btc_5m,long_p60,low_atr,1,126,0.5,-0.0020592121052873755,-0.23085850198338587,-0.020592121052873752,-0.9461562096428009
btc_5m,short_p40,low_volume,-1,157,0.45222929936305734,-0.0020773959072186883,-0.2819809826238716,-0.020773959072186887,-0.9775978151942212
btc_5m,long_p60,rsi_hot,1,109,0.44036697247706424,-0.002117197025324974,-0.2080649116988642,-0.021171970253249735,-0.9233560332193519
btc_5m,long_p60,trend72_up,1,193,0.45077720207253885,-0.0021253673248259513,-0.3400627449206899,-0.02125367324825952,-0.99103516182438
btc_5m,short_p40,rsi_cold,-1,103,0.5048543689320388,-0.0022726774945499104,-0.21279695211339322,-0.022726774945499097,-0.950279464563952
btc_5m,long_p60,mom72_up,1,187,0.44385026737967914,-0.0022817426548019633,-0.3508100920638465,-0.02281742654801964,-0.9923735487037433
btc_5m,long_p100,low_atr,1,20,0.55,-0.002301321363952978,-0.04561388199950844,-0.023013213639529788,-0.4145891425127457
btc_5m,long_p60,low_vol72,1,130,0.5307692307692308,-0.0023405537543646636,-0.2655855866769944,-0.023405537543646635,-0.9719977682992316
btc_5m,long_p60,high_volume,1,56,0.5535714285714286,-0.0026518683672572597,-0.1402545902261717,-0.026518683672572596,-0.8368088254494601
btc_5m,long_p100,low_vol72,1,24,0.5416666666666666,-0.0029235481676355064,-0.06882636116613872,-0.029235481676355073,-0.5669362358124245
btc_5m,long_p100,rsi_mid,1,22,0.5454545454545454,-0.0029473514528265132,-0.06382196250020411,-0.029473514528265136,-0.5416652315056969
sol_5m,short_p0,low_volume,-1,23,0.6521739130434783,0.0022684408506526894,0.05205996502999799,0.02268440850652687,0.4719900608504646
sol_5m,short_p0,high_vol72,-1,25,0.64,0.002175045583050809,0.054242507138718477,0.021750455830508088,0.48442909392680544
sol_5m,short_p0,mom72_down,-1,39,0.6153846153846154,0.00195841682692835,0.07741389847602842,0.019584168269283497,0.8118421890768406
sol_5m,short_p0,rsi_hot,-1,26,0.6153846153846154,0.0015501898859252188,0.038703162893212406,0.01550189885925218,0.15458221475854916
sol_5m,short_p20,rsi_cold,-1,57,0.631578947368421,0.0012463964585060236,0.06886771252254476,0.01246396458506022,0.31397203664330053
sol_5m,short_p0,trend288_down,-1,50,0.6,0.001019529885368168,0.05002969039605243,0.010195298853681676,0.3520524430132812
sol_5m,short_p0,trend72_down,-1,28,0.6071428571428571,0.0008028425846409493,0.021683066422259145,0.008028425846409492,0.12672721595769287
sol_5m,short_p40,high_vol24,-1,110,0.5909090909090909,0.0006317029984041119,0.05930220550409948,0.006317029984041098,-0.3779473260905195
sol_5m,short_p20,high_vol24,-1,60,0.6166666666666667,0.0005820011698680821,0.030516268805040436,0.005820011698680797,-0.1408691191751188
sol_5m,short_p0,mom24_up,-1,49,0.5918367346938775,0.0005627532289588576,0.02429987848928894,0.005627532289588569,-0.10570065031038922
sol_5m,short_p20,mom24_down,-1,112,0.5714285714285714,0.0004373905170745341,0.04083497218926069,0.004373905170745323,-0.3981687757039949
sol_5m,short_p0,all,-1,73,0.6027397260273972,0.00039492778109955634,0.024763690642899183,0.003949277810995553,-0.16712146190719968
sol_5m,short_p20,high_atr,-1,56,0.625,0.00039331058296105314,0.017705104704042185,0.003933105829610524,-0.21129315662571757
sol_5m,short_p40,high_atr,-1,105,0.580952380952381,0.00034666661437554716,0.025327688156341566,0.003466666143755452,-0.5299563599376462
sol_5m,short_p20,trend72_down,-1,120,0.5666666666666667,0.000252974656157119,0.020584596929706045,0.002529746561571172,-0.5446703267208188
sol_5m,short_p20,mom72_down,-1,138,0.5362318840579711,0.00020828654685514034,0.017418889242588387,0.002082865468551394,-0.6089516220334104
sol_5m,short_p20,trend288_down,-1,172,0.563953488372093,0.00017992052869372316,0.01710897807406342,0.0017992052869372202,-0.6941546447911208
sol_5m,short_p0,trend72_up,-1,45,0.6,0.00014111412556268928,0.0030152444744204754,0.001411141255626884,-0.26079842015276833
sol_5m,long_p100,rsi_cold,1,32,0.375,3.322598436600522e-05,-0.00016889017255938832,0.0003322598436600482,-0.09886588619438152
sol_5m,short_p0,mom24_down,-1,23,0.6086956521739131,1.1778953056002656e-05,-0.0005305728971454204,0.00011778953056002203,-0.0777543819594324
sol_5m,long_p100,mom72_up,1,20,0.45,-0.00010207985941177271,-0.0037558900659674377,-0.0010207985941177388,-0.1668338243253309
sol_5m,short_p20,low_volume,-1,81,0.5061728395061729,-0.00020412899858682478,-0.02090241122259684,-0.00204128998586826,-0.46427689145114737
sol_5m,long_p60,high_vol72,1,75,0.4666666666666667,-0.0002984546869387306,-0.02739202438490007,-0.002984546869387318,-0.5389200086964422
sol_5m,short_p40,rsi_cold,-1,115,0.5391304347826087,-0.000377877717672766,-0.05396948747407537,-0.003778777176727677,-0.846549818435295
sol_5m,short_p20,all,-1,253,0.5454545454545454,-0.00041875852019704286,-0.11702569927082951,-0.004187585201970442,-0.9541732927814225
sol_5m,short_p20,high_vol72,-1,64,0.53125,-0.0005726655325115496,-0.04195762633616096,-0.005726655325115511,-0.6674126068729387
sol_5m,long_p80,high_vol72,1,38,0.39473684210526316,-0.0005736269970478579,-0.02465387061375235,-0.005736269970478591,-0.41743744246076564
sol_5m,short_p40,trend288_down,-1,308,0.5227272727272727,-0.0006160426739507059,-0.19516318606062166,-0.006160426739507069,-0.9931041067628327
sol_5m,long_p80,rsi_hot,1,36,0.4722222222222222,-0.0006191320537639751,-0.02360234559426433,-0.006191320537639757,-0.318626959923088
sol_5m,short_p20,low_vol24,-1,55,0.41818181818181815,-0.0006667208038581091,-0.03834690957924092,-0.0066672080385811,-0.45608851960079844
sol_5m,short_p20,rsi_mid,-1,122,0.5245901639344263,-0.000701069494448854,-0.09056409700406354,-0.007010694944488561,-0.853540566884349
sol_5m,short_p40,mom72_down,-1,249,0.4979919678714859,-0.0007570303558392175,-0.18904764889330572,-0.007570303558392186,-0.9828777589112125
