signal_rule,filters,train_trades,train_accuracy,train_avg_directional_edge,train_avg_original_net_return,train_loser_rate,validation_trades,validation_accuracy,validation_avg_directional_edge,validation_avg_original_net_return,validation_loser_rate,test_trades,test_accuracy,test_avg_directional_edge,test_avg_original_net_return,test_loser_rate,stable_score,mean_accuracy
short_p40,sol_trend72_down+sol_trend288_down,125,0.512,0.0004349479427345706,-0.0009650520572654204,0.488,44,0.5909090909090909,0.0020075994321774064,0.0006075994321773953,0.4090909090909091,32,0.34375,-0.004348829554763987,-0.0057488295547639505,0.65625,0.34375,0.48221969696969696
short_p40,sol_trend72_down+sol_mom24_up,30,0.5333333333333333,0.0004571249366723743,-0.0009428750633276133,0.4666666666666667,9,0.6666666666666666,0.0022440715486551476,0.0008440715486551334,0.3333333333333333,5,0.0,-0.003248959268958007,-0.00464895926895794,1.0,0.0,0.39999999999999997
short_p40,sol_trend72_down+sol_mom24_down,106,0.5094339622641509,0.000410111658295653,-0.00098988834170434,0.49056603773584906,43,0.5813953488372093,0.0015506627514682066,0.00015066275146819518,0.4186046511627907,31,0.3548387096774194,-0.004315572689772594,-0.0057155726897725615,0.6451612903225806,0.3548387096774194,0.4818893402595932
short_p40,sol_trend72_down+sol_mom72_up,20,0.5,-0.005008266380286497,-0.006408266380286474,0.5,5,0.8,0.0031276455287142955,0.00172764552871428,0.2,7,0.14285714285714285,-0.008615606482958147,-0.010015606482958113,0.8571428571428571,0.14285714285714285,0.48095238095238096
short_p40,sol_trend72_down+sol_mom72_down,119,0.5126050420168067,0.0012944638463954384,-0.00010553615360455503,0.48739495798319327,46,0.5652173913043478,0.0015339564993893952,0.00013395649938938267,0.43478260869565216,30,0.3333333333333333,-0.0035065536448588303,-0.00490655364485879,0.6666666666666666,0.3333333333333333,0.47038525555149585
short_p40,sol_trend72_down+sol_rsi_hot,11,0.36363636363636365,-0.005703634948171024,-0.007103634948171,0.6363636363636364,2,1.0,0.008765986564757355,0.0073659865647573005,0.0,7,0.0,-0.00631723080166854,-0.007717230801668485,1.0,0.0,0.4545454545454546
short_p40,sol_trend72_down+sol_rsi_cold,65,0.5076923076923077,0.0014875238442100941,8.752384421010447e-05,0.49230769230769234,20,0.6,0.0004372147049547359,-0.0009627852950452754,0.4,13,0.46153846153846156,-0.002879778024856881,-0.004279778024856853,0.5384615384615384,0.46153846153846156,0.5230769230769231
short_p40,sol_trend72_down+sol_rsi_mid,63,0.5396825396825397,0.00031629848685003794,-0.001083701513149958,0.4603174603174603,30,0.5666666666666667,0.002019962500747326,0.0006199625007473163,0.43333333333333335,18,0.2777777777777778,-0.004933024399123391,-0.006333024399123349,0.7222222222222222,0.2777777777777778,0.4613756613756614
short_p40,sol_trend72_down+sol_high_volume,10,0.6,0.0027122314520729553,0.00131223145207296,0.4,6,0.6666666666666666,-0.0029585612811957596,-0.00435856128119577,0.3333333333333333,6,0.16666666666666666,-0.009529952022013344,-0.010929952022013299,0.8333333333333334,0.16666666666666666,0.4777777777777778
short_p40,sol_trend72_down+sol_low_volume,41,0.4634146341463415,-0.0021210291844478138,-0.003521029184447815,0.5365853658536586,15,0.4666666666666667,0.00031275767527674987,-0.0010872423247232472,0.5333333333333333,9,0.1111111111111111,-0.0064299378307473625,-0.007829937830747322,0.8888888888888888,0.1111111111111111,0.3470641373080398
short_p40,sol_trend72_down+sol_high_vol24,38,0.6052631578947368,0.0036574504389525007,0.002257450438952499,0.39473684210526316,13,0.7692307692307693,0.005180492357775051,0.003780492357775023,0.23076923076923078,6,0.3333333333333333,-0.007862765544537131,-0.009262765544537099,0.6666666666666666,0.3333333333333333,0.5692757534862798
short_p40,sol_trend72_down+sol_low_vol24,27,0.2222222222222222,-0.004900624538362124,-0.006300624538362085,0.7777777777777778,9,0.4444444444444444,0.002867569318836669,0.0014675693188366667,0.5555555555555556,9,0.2222222222222222,-0.0016020456272348468,-0.0030020456272348106,0.7777777777777778,0.2222222222222222,0.2962962962962963
short_p40,sol_trend72_down+btc_p_ge_0p6,48,0.4791666666666667,0.0017176269148020003,0.0003176269148020083,0.5208333333333334,14,0.5714285714285714,0.0020242448051300504,0.0006242448051300343,0.42857142857142855,18,0.3888888888888889,-0.00198309756377105,-0.0033830975637710106,0.6111111111111112,0.3888888888888889,0.4798280423280423
short_p40,sol_trend72_down+btc_p_ge_0p8,22,0.45454545454545453,0.001520696454834113,0.00012069645483411812,0.5454545454545454,7,0.42857142857142855,0.0024917410687433756,0.0010917410687433856,0.5714285714285714,8,0.5,-0.0011809827857017646,-0.0025809827857017375,0.5,0.42857142857142855,0.46103896103896097
short_p40,sol_trend72_down+btc_p_le_0p4,91,0.5274725274725275,-0.0003139584812655909,-0.001713958481265582,0.4725274725274725,38,0.6052631578947368,0.0015404135520844344,0.00014041355208442387,0.39473684210526316,19,0.21052631578947367,-0.0068321104515048975,-0.008232110451504857,0.7894736842105263,0.21052631578947367,0.44775400038557933
short_p40,sol_trend72_down+btc_p_le_0p2,50,0.54,0.001874299683827465,0.0004742996838274721,0.46,28,0.6071428571428571,0.0006891723978417078,-0.0007108276021583036,0.39285714285714285,8,0.25,-0.007861612156177006,-0.009261612156176975,0.75,0.25,0.46571428571428575
short_p40,sol_trend72_down+btc_forecast_up,55,0.43636363636363634,-0.00044070510545791795,-0.0018407051054579072,0.5636363636363636,14,0.5714285714285714,0.0013258886500611292,-7.411134993887999e-05,0.42857142857142855,13,0.46153846153846156,-0.0007839661222290936,-0.0021839661222290614,0.5384615384615384,0.43636363636363634,0.48977688977688977
short_p40,sol_trend72_down+btc_forecast_down,84,0.5595238095238095,0.0009299363204227706,-0.000470063679577222,0.44047619047619047,38,0.6052631578947368,0.0017977026618466686,0.00039770266184665555,0.39473684210526316,24,0.20833333333333334,-0.0064714289640622384,-0.007871428964062196,0.7916666666666666,0.20833333333333334,0.45770676691729323
short_p40,sol_trend72_down+btc_mom24_up,40,0.55,0.0008094623242867777,-0.0005905376757132111,0.45,13,0.38461538461538464,-0.004285672950870097,-0.005685672950870085,0.6153846153846154,10,0.1,-0.0072059220207436716,-0.00860592202074364,0.9,0.1,0.3448717948717949
short_p40,sol_trend72_down+btc_mom24_down,99,0.494949494949495,0.00021714522367531449,-0.001182854776324678,0.5050505050505051,39,0.6666666666666666,0.0036561254003164225,0.0022561254003164023,0.3333333333333333,27,0.37037037037037035,-0.0034609864636679717,-0.004860986463667929,0.6296296296296297,0.37037037037037035,0.510662177328844
short_p40,sol_trend72_down+btc_mom72_up,24,0.5416666666666666,-0.0003197611603552493,-0.0017197611603552414,0.4583333333333333,10,0.5,-0.0019938330937327776,-0.00339383309373278,0.5,12,0.25,-0.0063836920652763736,-0.007783692065276325,0.75,0.25,0.4305555555555555
short_p40,sol_trend72_down+btc_mom72_down,115,0.5043478260869565,0.000535218590990028,-0.0008647814090099628,0.4956521739130435,42,0.6190476190476191,0.0025431779330561187,0.0011431779330561046,0.38095238095238093,25,0.32,-0.0035560619977262186,-0.004956061997726184,0.68,0.32,0.4811318150448585
short_p40,sol_trend72_down+btc_trend72_up,26,0.5769230769230769,0.0012719834984289329,-0.0001280165015710619,0.4230769230769231,7,0.7142857142857143,0.0025528507191583077,0.0011528507191582856,0.2857142857142857,10,0.3,-0.0047040770171778434,-0.0061040770171778,0.7,0.3,0.5304029304029304
short_p40,sol_trend72_down+btc_trend72_down,113,0.49557522123893805,0.00018410884209004415,-0.0012158911579099464,0.504424778761062,45,0.5777777777777777,0.001533448604820468,0.00013344860482045754,0.4222222222222222,27,0.2962962962962963,-0.0043875957242479075,-0.00578759572424787,0.7037037037037037,0.2962962962962963,0.45654976510433737
short_p40,sol_trend72_down+btc_trend288_up,15,0.4,-0.002824221713285572,-0.004224221713285554,0.6,7,0.5714285714285714,-0.0005256871592696578,-0.0019256871592696714,0.42857142857142855,13,0.15384615384615385,-0.004610435696523461,-0.006010435696523407,0.8461538461538461,0.15384615384615385,0.3750915750915751
short_p40,sol_trend72_down+btc_trend288_down,124,0.5241935483870968,0.0007761225468920227,-0.0006238774531079696,0.47580645161290325,45,0.6,0.0020123322747981516,0.0006123322747981398,0.4,24,0.375,-0.00439875794465279,-0.005798757944652758,0.625,0.375,0.4997311827956989
short_p40,sol_trend72_down+btc_high_volume,18,0.5555555555555556,0.003769666959219289,0.0023696669592192885,0.4444444444444444,12,0.75,0.003706277040618572,0.0023062770406185496,0.25,4,0.5,-0.00531303002209918,-0.006713030022099149,0.5,0.5,0.6018518518518519
short_p40,sol_trend72_down+btc_low_volume,56,0.5,-0.0007593275945582738,-0.002159327594558266,0.5,18,0.3888888888888889,-0.0006139047441428137,-0.0020139047441428116,0.6111111111111112,13,0.23076923076923078,-0.004745674506169233,-0.0061456745061692,0.7692307692307693,0.23076923076923078,0.3732193732193732
short_p40,sol_trend72_down+btc_high_vol24,37,0.6216216216216216,0.003223526432865507,0.001823526432865504,0.3783783783783784,14,0.7142857142857143,0.00452801360019099,0.0031280136001909644,0.2857142857142857,7,0.14285714285714285,-0.011800908248345501,-0.013200908248345454,0.8571428571428571,0.14285714285714285,0.4929214929214929
